epoch,loss,lr,val_loss
0,10.80189323425293,0.001,9.208478927612305
1,9.541128158569336,0.001,9.22081470489502
2,10.021095275878906,0.001,8.997010231018066
3,9.315887451171875,0.001,8.774809837341309
4,9.104461669921875,0.001,8.754044532775879
5,9.275259971618652,0.001,8.488482475280762
6,6.410035610198975,0.001,5.782100200653076
7,4.866027355194092,0.001,5.967089653015137
8,4.251141548156738,0.001,4.763278484344482
9,4.198611736297607,0.001,4.348513126373291
10,4.501438617706299,0.001,4.12760591506958
11,4.311148643493652,0.001,4.742030620574951
12,5.928768634796143,0.001,4.171268939971924
13,3.9206430912017822,0.001,4.228370189666748
14,3.765388250350952,0.001,5.417911052703857
15,4.264154434204102,0.001,4.711971759796143
16,4.510295867919922,0.001,6.20631217956543
17,4.66977596282959,0.001,5.669963359832764
18,5.322899341583252,0.001,5.049925804138184
19,5.064381122589111,0.001,5.406793594360352
20,4.0995917320251465,0.001,4.109705448150635
21,3.8745908737182617,0.001,4.426017761230469
22,4.624779224395752,0.001,4.483741283416748
23,4.237439155578613,0.001,4.410462379455566
24,4.106922149658203,0.001,5.63147497177124
25,4.281350612640381,0.001,3.6963744163513184
26,3.9646682739257812,0.001,3.9297285079956055
27,3.9561638832092285,0.001,3.639914035797119
28,3.9017934799194336,0.001,4.174313068389893
29,3.901190757751465,0.001,3.955911874771118
30,3.9124913215637207,0.001,4.394603729248047
31,3.7510430812835693,0.001,3.9568047523498535
32,3.79276967048645,0.001,5.970629692077637
33,3.843920946121216,0.001,4.381674289703369
34,3.900543451309204,0.001,4.483831882476807
35,4.1079230308532715,0.001,4.122579574584961
36,4.014203071594238,0.001,3.733323574066162
37,3.863215684890747,0.001,3.873284101486206
38,3.3129985332489014,0.0005,3.7895355224609375
39,3.406015634536743,0.0005,3.761586904525757
40,3.253857135772705,0.0005,3.7046995162963867
41,3.2494328022003174,0.0005,3.262645721435547
42,3.3603007793426514,0.0005,3.2814619541168213
43,2.916722059249878,0.0005,3.241806983947754
44,2.9034228324890137,0.0005,3.3378336429595947
45,2.904933452606201,0.0005,3.056494951248169
46,2.8278040885925293,0.0005,3.0492873191833496
47,2.8910505771636963,0.0005,3.1149485111236572
48,2.8017094135284424,0.0005,3.7196884155273438
49,2.8556911945343018,0.0005,2.924983024597168
50,2.7429451942443848,0.0005,2.967219591140747
51,2.5256400108337402,0.0005,2.839759588241577
52,2.582282066345215,0.0005,2.616288185119629
53,2.667750835418701,0.0005,2.8747622966766357
54,2.6471028327941895,0.0005,2.8329017162323
55,2.880568504333496,0.0005,3.6733362674713135
56,2.6873786449432373,0.0005,3.1838605403900146
57,2.7425265312194824,0.0005,2.695859432220459
58,2.6280200481414795,0.0005,3.4050002098083496
59,2.866337299346924,0.0005,2.6986539363861084
60,2.531136989593506,0.0005,2.5279712677001953
61,2.824984550476074,0.0005,2.7377099990844727
62,2.708449602127075,0.0005,2.753967761993408
63,2.6175343990325928,0.0005,2.8537323474884033
64,2.867321252822876,0.0005,3.764340400695801
65,2.5178213119506836,0.0005,3.0401220321655273
66,2.510589361190796,0.0005,2.848642110824585
67,2.2953648567199707,0.0005,2.6224400997161865
68,2.3482251167297363,0.0005,2.4072036743164062
69,2.5907998085021973,0.0005,2.9082534313201904
70,2.7538657188415527,0.0005,2.840488910675049
71,2.416715383529663,0.0005,2.972720146179199
72,2.5454275608062744,0.0005,4.442551612854004
73,2.459587574005127,0.0005,2.203794240951538
74,2.525101661682129,0.0005,2.821977138519287
75,2.363832473754883,0.0005,2.5204076766967773
76,2.229942798614502,0.0005,2.3910114765167236
77,2.3474721908569336,0.0005,2.547558069229126
78,2.37880802154541,0.0005,2.1868951320648193
79,2.134157657623291,0.0005,2.473080635070801
80,2.7490384578704834,0.0005,2.4864187240600586
81,2.3124754428863525,0.0005,2.7370729446411133
82,2.6052615642547607,0.0005,4.045507907867432
83,2.2864694595336914,0.0005,3.1777732372283936
84,2.1343183517456055,0.0005,2.044161796569824
85,2.1927249431610107,0.0005,2.129808187484741
86,2.2128429412841797,0.0005,2.4391074180603027
87,2.3414220809936523,0.0005,2.9724669456481934
88,2.220994472503662,0.0005,4.097667217254639
89,2.15828013420105,0.0005,2.265702724456787
90,2.197829484939575,0.0005,3.2684950828552246
91,2.1447672843933105,0.0005,3.2762749195098877
92,2.177525281906128,0.0005,2.4803221225738525
93,2.409626007080078,0.0005,2.130835771560669
94,2.0853962898254395,0.0005,2.182363748550415
95,1.9300475120544434,0.00025,2.198556661605835
96,1.9867992401123047,0.00025,2.7211966514587402
97,1.979762315750122,0.00025,2.0288326740264893
98,2.0437705516815186,0.00025,2.240730047225952
99,1.8193614482879639,0.00025,2.343841075897217
100,1.701870083808899,0.00025,2.2544097900390625
101,1.7359774112701416,0.00025,1.948020100593567
102,1.696804404258728,0.00025,1.7847695350646973
103,1.8109780550003052,0.00025,2.4901108741760254
