epoch,loss_media_train,loss_val, lr
0,13.131721,12.205530,0.0010000000474974513
1,11.438565,9.573623,0.0010000000474974513
2,10.175541,9.327476,0.0010000000474974513
3,10.634237,9.301638,0.0010000000474974513
4,9.997689,9.299904,0.0010000000474974513
5,9.961535,9.304739,0.0010000000474974513
6,10.259872,9.303726,0.0010000000474974513
7,10.835774,9.300023,0.0010000000474974513
8,10.440877,9.304029,0.0010000000474974513
9,9.600962,9.299739,0.0010000000474974513
10,10.179276,9.300120,0.0010000000474974513
11,9.133678,9.301995,0.0010000000474974513
12,9.816386,9.300141,0.0010000000474974513
13,9.071254,9.299927,0.0010000000474974513
14,9.321235,9.300756,0.0010000000474974513
15,9.750243,9.300221,0.0010000000474974513
16,9.583543,9.302204,0.0010000000474974513
17,8.758437,9.299800,0.0010000000474974513
18,8.749755,9.300093,0.0010000000474974513
19,9.022951,9.299767,0.0010000000474974513
20,11.106893,9.299926,0.0005000000237487257
21,8.747688,9.300100,0.0005000000237487257
22,9.059306,9.299754,0.0005000000237487257
23,10.010106,9.299883,0.0005000000237487257
24,10.943188,9.300218,0.0005000000237487257
25,8.671224,9.300282,0.0005000000237487257
26,9.088531,9.299740,0.0005000000237487257
27,11.104279,9.299946,0.0005000000237487257
28,9.067599,9.300691,0.0005000000237487257
29,8.601289,9.299908,0.0005000000237487257
