epoch,loss_media_train,loss_val, lr
0,12.169755,9.301638,0.0010000000474974513
1,9.618221,9.300023,0.0010000000474974513
2,9.771603,9.301995,0.0010000000474974513
3,9.472720,9.300221,0.0010000000474974513
4,9.440848,9.299767,0.0010000000474974513
5,9.829114,9.300189,0.0010000000474974513
6,9.909847,9.300053,0.0010000000474974513
7,9.230418,9.303926,0.0010000000474974513
8,9.324315,9.299747,0.0010000000474974513
9,9.607224,9.300045,0.0010000000474974513
10,9.770629,9.302167,0.0010000000474974513
11,9.472676,9.300081,0.0010000000474974513
12,9.440915,9.299783,0.0010000000474974513
13,9.829056,9.300200,0.0010000000474974513
14,9.909830,9.300064,0.0010000000474974513
15,9.214602,9.300651,0.0005000000237487257
16,9.300964,9.299737,0.0005000000237487257
17,9.591222,9.299883,0.0005000000237487257
18,9.755108,9.300246,0.0005000000237487257
19,9.451209,9.299775,0.0005000000237487257
20,9.424242,9.299858,0.0005000000237487257
21,9.811809,9.299900,0.0005000000237487257
22,9.892171,9.299958,0.0005000000237487257
23,9.215178,9.300642,0.0005000000237487257
24,9.300887,9.299737,0.0005000000237487257
25,9.583734,9.299861,0.0002500000118743628
26,9.747016,9.299744,0.0002500000118743628
27,9.439856,9.299740,0.0002500000118743628
28,9.415948,9.299755,0.0002500000118743628
29,9.802672,9.299777,0.0002500000118743628
30,9.883343,9.299866,0.0002500000118743628
31,9.207566,9.299879,0.0002500000118743628
32,9.289476,9.299749,0.0002500000118743628
33,9.595045,9.166480,0.0002500000118743628
34,8.958073,7.752446,0.0002500000118743628
35,7.398802,8.158767,0.0002500000118743628
36,6.855227,6.537382,0.0002500000118743628
37,6.626496,6.398703,0.0002500000118743628
38,6.656840,6.759764,0.0002500000118743628
39,5.948110,6.358613,0.0002500000118743628
40,6.208146,6.269935,0.0002500000118743628
41,5.940521,6.038498,0.0002500000118743628
42,6.189442,5.477611,0.0002500000118743628
43,5.336386,4.851328,0.0002500000118743628
44,4.720303,5.334761,0.0002500000118743628
45,5.395265,6.021301,0.0002500000118743628
46,5.499648,5.591808,0.0002500000118743628
