epoch,loss_media_train,loss_val, lr
0,13.004918,9.573623,0.0010000000474974513
1,10.078878,9.301638,0.0010000000474974513
2,9.756811,9.304739,0.0010000000474974513
3,10.131278,9.300023,0.0010000000474974513
4,9.989316,9.299739,0.0010000000474974513
5,10.193271,9.301995,0.0010000000474974513
6,9.587431,9.299927,0.0010000000474974513
7,9.483605,9.300221,0.0010000000474974513
8,9.543941,9.299800,0.0010000000474974513
9,9.111837,9.299767,0.0010000000474974513
10,10.348641,9.301968,0.0010000000474974513
11,9.412288,9.300189,0.0010000000474974513
12,10.274212,9.300864,0.0010000000474974513
13,9.477234,9.300053,0.0010000000474974513
14,9.133081,9.299747,0.0010000000474974513
15,9.855149,9.301336,0.0005000000237487257
16,9.172422,9.299745,0.0005000000237487257
17,9.983397,9.299740,0.0005000000237487257
18,9.722437,9.300451,0.0005000000237487257
19,10.108450,9.299883,0.0005000000237487257
20,9.973335,9.299922,0.0005000000237487257
21,10.177725,9.300208,0.0005000000237487257
22,9.562868,9.299770,0.0005000000237487257
23,9.467374,9.299788,0.0005000000237487257
24,9.527369,9.299728,0.0005000000237487257
25,9.089807,9.299777,0.0002500000118743628
26,10.321574,9.299880,0.0002500000118743628
27,9.381654,9.299799,0.0002500000118743628
28,10.246619,9.299997,0.0002500000118743628
29,9.460046,9.299903,0.0002500000118743628
30,9.110285,9.299949,0.0002500000118743628
31,9.845889,9.299798,0.0002500000118743628
32,9.155165,9.299738,0.0002500000118743628
33,9.975059,9.299739,0.0002500000118743628
34,9.714392,9.299911,0.0002500000118743628
35,10.095442,9.299872,0.0001250000059371814
36,9.961465,9.299927,0.0001250000059371814
37,10.166113,9.299778,0.0001250000059371814
38,9.543002,9.299801,0.0001250000059371814
39,9.455838,9.299758,0.0001250000059371814
40,9.515702,9.295358,0.0001250000059371814
41,8.777071,8.489844,0.0001250000059371814
42,9.351994,8.127551,0.0001250000059371814
43,7.726509,7.155745,0.0001250000059371814
44,7.696610,7.260227,0.0001250000059371814
45,6.450452,6.133977,0.0001250000059371814
46,5.716550,6.029048,0.0001250000059371814
47,5.900320,5.452276,0.0001250000059371814
48,5.892726,5.946344,0.0001250000059371814
49,5.534252,5.627201,0.0001250000059371814
50,4.994851,4.626990,0.0001250000059371814
51,5.029481,4.334575,0.0001250000059371814
52,4.522481,4.188425,0.0001250000059371814
53,4.609822,4.060848,0.0001250000059371814
54,4.112938,4.311697,0.0001250000059371814
55,3.888546,4.223589,0.0001250000059371814
56,3.779542,3.976413,0.0001250000059371814
57,3.460421,3.808806,0.0001250000059371814
58,3.995513,4.320629,0.0001250000059371814
59,3.353922,3.767831,0.0001250000059371814
60,3.803204,4.615413,0.0001250000059371814
61,3.320053,4.250216,0.0001250000059371814
62,3.391327,4.166635,0.0001250000059371814
63,3.500619,3.550155,0.0001250000059371814
64,3.521571,3.317210,0.0001250000059371814
65,3.351298,3.591750,0.0001250000059371814
66,3.125673,4.337863,0.0001250000059371814
67,3.649811,3.473167,0.0001250000059371814
68,3.184394,3.987120,0.0001250000059371814
69,3.308216,3.436855,0.0001250000059371814
70,2.921627,2.936506,0.0001250000059371814
71,2.688283,3.591583,0.0001250000059371814
72,2.917973,3.168555,0.0001250000059371814
73,2.310556,2.881342,0.0001250000059371814
74,3.092855,3.734293,0.0001250000059371814
75,2.462566,2.948306,0.0001250000059371814
76,2.945923,2.819637,0.0001250000059371814
77,2.624969,2.826081,0.0001250000059371814
78,2.594758,2.643334,0.0001250000059371814
79,2.772949,2.780760,0.0001250000059371814
80,2.989337,3.105071,0.0001250000059371814
81,2.726816,2.726957,0.0001250000059371814
82,2.820021,2.391768,0.0001250000059371814
83,2.539734,2.578662,0.0001250000059371814
84,2.767818,2.797069,0.0001250000059371814
85,2.380499,2.990206,0.0001250000059371814
86,2.548233,2.615330,0.0001250000059371814
87,2.323418,2.421793,0.0001250000059371814
88,2.420200,3.108961,0.0001250000059371814
89,2.177305,2.849343,0.0001250000059371814
90,2.748534,2.659440,0.0001250000059371814
91,2.156454,2.784039,0.0001250000059371814
92,2.885105,2.393813,0.0001250000059371814
93,2.129980,2.314997,6.25000029685907e-05
94,2.264748,2.272239,6.25000029685907e-05
95,2.334953,2.545807,6.25000029685907e-05
96,2.434774,2.808033,6.25000029685907e-05
97,2.283898,2.757159,6.25000029685907e-05
98,2.520331,2.376095,6.25000029685907e-05
99,2.284956,2.325920,6.25000029685907e-05
100,2.398511,3.195745,6.25000029685907e-05
101,2.298597,2.476076,6.25000029685907e-05
102,2.240528,2.336109,6.25000029685907e-05
103,1.933223,2.601360,6.25000029685907e-05
104,2.448895,2.576554,6.25000029685907e-05
105,1.783357,2.397737,3.125000148429535e-05
106,2.555321,2.196557,3.125000148429535e-05
107,1.890289,2.217676,3.125000148429535e-05
108,2.495568,2.080442,3.125000148429535e-05
109,1.885722,2.145412,3.125000148429535e-05
110,2.132557,2.102118,3.125000148429535e-05
111,2.116297,2.163772,3.125000148429535e-05
112,2.165171,2.191618,3.125000148429535e-05
113,2.073270,2.341330,3.125000148429535e-05
114,2.441002,2.029038,3.125000148429535e-05
115,2.170773,2.258246,3.125000148429535e-05
116,2.507408,2.274087,3.125000148429535e-05
117,2.087995,2.324031,3.125000148429535e-05
118,2.349512,2.087749,3.125000148429535e-05
119,1.883492,2.278217,3.125000148429535e-05
120,2.334501,2.115423,3.125000148429535e-05
121,1.668090,2.212623,3.125000148429535e-05
122,2.312116,2.037868,3.125000148429535e-05
123,1.723926,2.103635,3.125000148429535e-05
124,2.288469,1.961862,3.125000148429535e-05
125,1.760716,2.031708,3.125000148429535e-05
126,2.049616,2.042700,3.125000148429535e-05
127,1.920217,2.185699,3.125000148429535e-05
128,2.004395,2.258007,3.125000148429535e-05
129,2.041156,2.432089,3.125000148429535e-05
130,2.411565,1.949356,3.125000148429535e-05
131,2.055951,2.088440,3.125000148429535e-05
132,2.271024,2.155560,3.125000148429535e-05
133,2.015680,2.130914,3.125000148429535e-05
134,2.110340,2.049089,3.125000148429535e-05
135,1.846685,2.212488,3.125000148429535e-05
136,2.259061,2.061196,3.125000148429535e-05
137,1.555706,2.207596,3.125000148429535e-05
138,2.254723,1.928554,3.125000148429535e-05
139,1.599071,2.031278,3.125000148429535e-05
140,2.186841,1.907626,3.125000148429535e-05
141,1.680885,1.941088,3.125000148429535e-05
